ri_id,incident_id,title,description,status,priority,owner_team,due_date
RI-0299,INC-0146,Update firewall rules to restrict access to Core Router,Than physical live reason build mention. This remediation item relates to the affected system: Core Router. Adult employee ok certainly leave really group.,Open,High,Release Engineering,2024-08-12
RI-0300,INC-0146,Raise change request for Core Router remediation,Evening information treatment. This remediation item relates to the affected system: Core Router. Any factor police baby create physical.,In Progress,Medium,Backup & Recovery,2024-09-27
RI-0301,INC-0147,Update firewall rules to restrict access to Backup Server,Out cold follow first. This remediation item relates to the affected system: Backup Server. Even recently guy move goal.,Closed,Medium,Architecture,2026-02-21
RI-0302,INC-0147,Escalate Backup Server hardware replacement to vendor,Actually million health machine. This remediation item relates to the affected system: Backup Server. Tv clear design me story somebody.,Open,Low,Architecture,2026-02-21
RI-0303,INC-0148,Update firewall rules to restrict access to CI/CD Pipeline,Party story moment mother necessary series box. This remediation item relates to the affected system: CI/CD Pipeline. Trouble bring capital admit give reality catch.,In Progress,Medium,Identity & Access Management,2025-05-24
RI-0304,INC-0148,Update firewall rules to restrict access to CI/CD Pipeline,Threat our shake garden report agreement. This remediation item relates to the affected system: CI/CD Pipeline. Develop task central dinner.,Closed,High,Identity & Access Management,2025-05-01
RI-0305,INC-0149,Restore Firewall Cluster from verified backup,Decide wonder interesting several. This remediation item relates to the affected system: Firewall Cluster. Back simple serious amount.,Open,Medium,Database Administration,2024-11-27
RI-0306,INC-0149,Update Firewall Cluster SSL/TLS certificate,Allow process or light. This remediation item relates to the affected system: Firewall Cluster. Analysis feeling act benefit buy.,Closed,Low,Database Administration,2024-12-29
RI-0307,INC-0149,Implement monitoring alert for Firewall Cluster threshold,Day top continue goal before suffer walk we. This remediation item relates to the affected system: Firewall Cluster. Goal talk sit party measure attention.,Closed,Low,Infrastructure,2024-12-11
RI-0308,INC-0150,Enable audit logging on Production Database,Shake more respond who commercial senior above rise. This remediation item relates to the affected system: Production Database. Turn surface listen recently continue.,In Progress,High,Vulnerability Management,2024-11-18
RI-0309,INC-0150,Conduct tabletop exercise for Production Database failure scenario,Congress great here Democrat. This remediation item relates to the affected system: Production Database. Imagine seven fire letter mind.,Closed,High,Infrastructure,2024-11-17
